date,cpt_price,amt_price,maa_price,vici_price,psa_price,udr_price,avb_price,doc_price,o_price,irm_price,csgp_price,cci_price,bxp_price,well_price,cbre_price,eqix_price,hst_price,spg_price,kim_price,are_price,wy_price,vtr_price,invh_price,dlr_price,ess_price,eqr_price,frt_price,sbac_price,pld_price,reg_price,exr_price,xlre_calculated_price
2025-07-18,113.93,224.77,150.77,32.90,284.06,40.73,202.63,18.32,56.47,99.67,84.70,105.14,68.95,159.05,139.47,777.78,16.14,162.86,21.67,78.17,25.31,65.80,32.24,177.98,287.37,67.17,94.67,233.90,106.78,69.87,148.11,42.32
2025-07-24,113.60,231.24,151.68,33.41,287.31,40.51,201.59,18.87,58.02,98.77,92.96,113.91,70.74,161.40,144.59,789.54,16.43,164.96,21.98,82.05,25.68,67.11,32.12,180.02,287.41,67.65,94.71,235.12,109.72,71.53,150.51,42.72
2025-07-25,113.54,229.87,151.65,33.38,287.76,40.41,201.75,17.60,57.90,99.34,92.97,111.48,71.80,161.56,147.57,801.43,16.55,167.11,21.78,82.19,26.47,66.46,31.91,177.91,287.06,67.37,94.24,233.92,110.29,71.18,150.86,42.80
2025-07-28,112.23,224.21,149.35,32.49,285.99,39.90,198.77,17.26,56.86,98.00,93.36,108.80,69.60,158.29,146.56,793.62,16.40,165.28,21.55,79.12,25.88,65.23,31.22,175.72,283.16,66.21,93.19,226.75,107.12,70.04,148.31,41.98
2025-07-29,114.72,214.71,152.32,32.87,292.57,40.60,203.12,17.37,57.36,99.42,95.59,109.33,70.43,165.96,158.05,811.13,16.28,168.08,21.93,79.48,25.94,66.83,32.00,178.30,290.67,67.78,94.84,228.92,109.72,71.76,151.91,42.69
2025-07-30,112.12,208.74,148.79,32.53,288.65,39.79,196.31,17.22,56.79,97.95,96.25,106.97,66.43,166.38,157.37,797.04,16.13,165.46,21.90,78.03,25.54,66.48,31.38,177.30,268.46,65.30,93.58,226.98,108.49,72.31,149.34,41.98
2025-07-31,109.20,208.39,142.43,32.60,271.94,39.29,186.28,16.94,56.13,97.36,95.19,105.09,65.43,165.07,155.74,785.17,15.72,163.79,21.23,76.43,25.05,67.18,30.65,176.44,260.18,63.20,92.16,224.72,106.78,71.40,134.36,41.40
2025-08-01,106.95,212.10,140.00,33.11,278.89,38.67,184.44,16.77,56.57,94.13,94.60,106.88,64.62,166.24,153.94,771.75,15.53,160.68,20.74,76.01,25.08,67.50,30.34,172.21,256.72,62.75,90.61,228.57,104.91,70.48,139.30,41.32
2025-08-04,105.77,212.98,140.10,33.93,280.58,37.97,182.72,16.90,57.45,94.77,96.83,107.19,65.74,168.78,156.03,778.39,15.69,163.94,21.05,77.12,25.27,68.28,30.19,172.91,254.55,62.67,91.54,230.40,105.21,72.18,138.06,41.49
2025-08-05,107.67,210.05,141.80,33.52,281.82,38.55,186.31,17.19,57.20,95.55,96.56,104.94,66.10,169.69,156.47,778.94,15.40,169.31,21.29,78.14,25.80,68.73,30.46,172.17,257.36,63.41,93.39,219.16,107.04,73.81,138.61,41.69
